seed,rep,gamma,status,objective,real_start,real_end,real_delta,real_denial,barca_start,barca_end,barca_delta,barca_denial,combined_start,combined_end,combined_delta
1493736373,1,0.0,Optimal,425.1949999999998,200.78499999999997,213.58999999999997,12.805000000000007,0.0,191.13500000000005,202.00500000000005,10.870000000000005,0.0,391.92,415.595,23.67500000000001
1493736373,1,0.5,Optimal,454.9149999999999,200.78499999999997,227.44999999999996,26.664999999999992,16.009999999999998,191.13500000000005,217.86500000000007,26.730000000000018,15.96,391.92,445.31500000000005,53.39500000000004
690961976,2,0.0,Optimal,425.3149999999998,200.78499999999997,213.58999999999997,12.805000000000007,0.0,191.13500000000005,202.12500000000006,10.990000000000009,0.0,391.92,415.71500000000003,23.795000000000016
690961976,2,0.5,Optimal,454.9149999999999,200.78499999999997,227.44999999999996,26.664999999999992,16.009999999999998,191.13500000000005,217.86500000000007,26.730000000000018,15.96,391.92,445.31500000000005,53.39500000000004
29802640,3,0.0,Optimal,425.1949999999998,200.78499999999997,213.58999999999997,12.805000000000007,0.0,191.13500000000005,202.00500000000005,10.870000000000005,0.0,391.92,415.595,23.67500000000001
29802640,3,0.5,Optimal,454.9149999999999,200.78499999999997,227.44999999999996,26.664999999999992,16.009999999999998,191.13500000000005,217.86500000000007,26.730000000000018,15.96,391.92,445.31500000000005,53.39500000000004
978601660,4,0.0,Optimal,425.1399999999998,200.78499999999997,213.53499999999997,12.75,0.0,191.13500000000005,202.00500000000005,10.870000000000005,0.0,391.92,415.54,23.620000000000005
978601660,4,0.5,Optimal,454.9149999999999,200.78499999999997,227.44999999999996,26.664999999999992,16.009999999999998,191.13500000000005,217.86500000000007,26.730000000000018,15.96,391.92,445.31500000000005,53.39500000000004
24853083,5,0.0,Optimal,425.1949999999998,200.78499999999997,213.58999999999997,12.805000000000007,0.0,191.13500000000005,202.00500000000005,10.870000000000005,0.0,391.92,415.595,23.67500000000001
24853083,5,0.5,Optimal,454.9149999999999,200.78499999999997,227.44999999999996,26.664999999999992,16.009999999999998,191.13500000000005,217.86500000000007,26.730000000000018,15.96,391.92,445.31500000000005,53.39500000000004
1605806018,6,0.0,Optimal,425.3149999999998,200.78499999999997,213.58999999999997,12.805000000000007,0.0,191.13500000000005,202.12500000000006,10.990000000000009,0.0,391.92,415.71500000000003,23.795000000000016
1605806018,6,0.5,Optimal,454.9149999999999,200.78499999999997,227.44999999999996,26.664999999999992,16.009999999999998,191.13500000000005,217.86500000000007,26.730000000000018,15.96,391.92,445.31500000000005,53.39500000000004
2100030299,7,0.0,Optimal,425.0749999999998,200.78499999999997,213.58999999999997,12.805000000000007,0.0,191.13500000000005,201.88500000000005,10.75,0.0,391.92,415.475,23.555000000000007
2100030299,7,0.5,Optimal,454.9149999999999,200.78499999999997,227.44999999999996,26.664999999999992,16.009999999999998,191.13500000000005,217.86500000000007,26.730000000000018,15.96,391.92,445.31500000000005,53.39500000000004
30505658,8,0.0,Optimal,424.92499999999984,200.78499999999997,213.19999999999996,12.414999999999992,0.0,191.13500000000005,202.12500000000006,10.990000000000009,0.0,391.92,415.32500000000005,23.40500000000003
30505658,8,0.5,Optimal,454.19999999999993,200.78499999999997,226.89499999999998,26.110000000000014,15.86,191.13500000000005,217.70500000000004,26.569999999999993,14.99,391.92,444.6,52.68000000000001
1632629929,9,0.0,Optimal,424.98999999999984,200.78499999999997,213.265,12.480000000000018,0.0,191.13500000000005,202.12500000000006,10.990000000000009,0.0,391.92,415.39000000000004,23.470000000000027
1632629929,9,0.5,Optimal,454.35999999999996,200.78499999999997,226.89499999999998,26.110000000000014,15.86,191.13500000000005,217.86500000000007,26.730000000000018,15.96,391.92,444.76000000000005,52.84000000000003
1792148233,10,0.0,Optimal,425.1949999999998,200.78499999999997,213.58999999999997,12.805000000000007,0.0,191.13500000000005,202.00500000000005,10.870000000000005,0.0,391.92,415.595,23.67500000000001
1792148233,10,0.5,Optimal,454.9149999999999,200.78499999999997,227.44999999999996,26.664999999999992,16.009999999999998,191.13500000000005,217.86500000000007,26.730000000000018,15.96,391.92,445.31500000000005,53.39500000000004
